Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC,,,,,,,,,,,,,,,,,
State_id  ,YEAR  ,mean,willow,crosby,pembina,hettinger,ft yates,towns,fargo,YEAR  ,,,,,,,
'329445',1883,39.83105077,36.93140496,38.2892562,36.30578512,42.07190083,42.71570248,41.01322314,41.49008264,1883,,,,,,,
'329445',1884,,. ,,,,,,,1884,,,,,,,
'329445',1885,,. ,,31,,,,,1885,,,,,,,
'329445',1886,,. ,,33.3,,,,,1886,,,,,,,
'329445',1887,,. ,,30.8,,,,,1887,,,,,,,
'329445',1888,,. ,,32.2,,,,,1888,,,,,,,
'329445',1889,,. ,,36.2,,,,,1889,,,,,,,
'329445',1890,,,,33.5,,,,,1890,,,,,,,
'329445',1891,,,,34.5,,,,,1891,,,,,,,
'329445',1892,,,,33.2,,,,,1892,,,,,,,
'329445',1893,,,,30.1,,40.1,,,1893,,,,,,,
'329445',1894,39.8,36.5,37.4,36.1,41.3,42.3,42.4,42.6,1894,-0.400354191,-0.858205431,-0.174734357,-0.740850059,-0.384651712,1.417827627,1.140968123
'329445',1895,37.51428571,34.5,35.7,33.6,39.5,40.8,40,38.5,1895,-0.114639906,-0.272491145,-0.389020071,-0.255135773,0.401062574,1.303541913,-0.673317591
'329445',1896,37.07142857,34.2,34.7,33.3,39,39.7,39,39.6,1896,0.028217237,-0.829634002,-0.246162928,-0.31227863,-0.256080283,0.746399055,0.869539551
'329445',1897,37.88571429,33.9,35.5,33.9,40.4,40.8,39.5,41.2,1897,-1.086068477,-0.843919717,-0.460448642,0.273435655,0.029634002,0.432113341,1.655253837
'329445',1898,39.24285714,36.9,36.1,35.4,40.4,41.9,41.5,42.5,1898,0.556788666,-1.601062574,-0.317591499,-1.083707202,-0.227508855,1.074970484,1.59811098
'329445',1899,36.9,32.7,33.7,33.9,38.7,39.6,38.1,41.6,1899,-1.300354191,-1.658205431,0.525265643,-0.440850059,-0.184651712,0.017827627,3.040968123
'329445',1900,41.12857143,38.4,39.1,37,43.9,43.8,41.8,43.9,1900,0.17107438,-0.48677686,-0.603305785,0.530578512,-0.21322314,-0.510743802,1.112396694
'329445',1901,40.27142857,36.7,38.5,35.6,42.9,43.5,41.9,42.8,1901,-0.671782763,-0.229634002,-1.146162928,0.38772137,0.343919717,0.446399055,0.869539551
'329445',1902,38.71428571,35.6,36.1,36.4,39.6,41.5,39.7,42.1,1902,-0.214639906,-1.072491145,1.210979929,-1.355135773,-0.098937426,-0.196458087,1.726682409
