site,station,location,year,season,ave.max.feb.temp,ave.max.mar.temp,ave.max.jan.temp,ave max winter temp (F),Field Skipper,Fiery Skipper,Checkered Skipper,Common Skipper,Sandhill Skipper
Willow Slough,2294,Davis,1972,Winter,60.1724,72.3548,48.6452,70,109,91,60,66,92
Willow Slough,2294,Davis,1973,Winter,59.3929,60.6129,52.4194,70,125,102,83,83,122
Willow Slough,2294,Davis,1974,Winter,59.1071,62.6129,53.4194,66,106,106,78,78,104
Willow Slough,2294,Davis,1975,Winter,57.4643,60.1935,52.8065,75,129,119,101,110,119
Willow Slough,2294,Davis,1976,Winter,62.6897,66.9355,60.2903,74,90,81,59,62,95
Willow Slough,2294,Davis,1977,Winter,64,62.3548,49.2581,78,103,92,80,77,111
Willow Slough,2294,Davis,1978,Winter,57.6071,66.5161,56.5806,70,118,103,77,78,87
Willow Slough,2294,Davis,1979,Winter,57.0714,63.8387,52.1613,65,110,105,69,90,92
Willow Slough,2294,Davis,1980,Winter,59.3793,62.7097,54.0323,70,106,101,75,88,107
Willow Slough,2294,Davis,1981,Winter,61.3214,62.4516,52.7419,73,101,91,65,92,106
Willow Slough,2294,Davis,1982,Winter,59.9286,60.129,49.4516,68,114,114,72,86,114
Willow Slough,2294,Davis,1983,Winter,57.9286,60.4194,49.2258,65,142,142,92,129,142
Willow Slough,2294,Davis,1984,Winter,58.7586,69.0645,54,69,106,79,63,63,99
Willow Slough,2294,Davis,1985,Winter,62.0357,61.0645,48.0645,75,80,89,62,73,103
Willow Slough,2294,Davis,1986,Winter,61.4643,67.5161,56.1935,74,80,90,67,80,90
Willow Slough,2294,Davis,1987,Winter,60.25,63.2581,52.129,68,94,94,67,68,94
Willow Slough,2294,Davis,1988,Winter,65.8276,69.9355,54.0645,74,76,73,52,57,73
Willow Slough,2294,Davis,1989,Winter,56.6071,63.0323,54.4516,73,96,85,54,83,101
Willow Slough,2294,Davis,1990,Winter,57.6429,67.9032,55.4839,73,96,92,64,64,76
Willow Slough,2294,Davis,1991,Winter,65.9286,58.3871,57.7097,77,102,94,54,66,99
Willow Slough,2294,Davis,1992,Winter,62.4138,66.0645,48.7742,77,96,103,72,72,96
Willow Slough,2294,Davis,1993,Winter,56.9643,67.9355,51.8387,65,96,80,66,69,100
Willow Slough,2294,Davis,1994,Winter,57.9286,69.8065,56.2903,69,90,90,55,65,92
Willow Slough,2294,Davis,1995,Winter,59.9643,60.9677,55.129,73,106,99,71,85,106
Willow Slough,2294,Davis,1996,Winter,60.4483,67.0645,54.5161,75,89,89,61,69,90
Willow Slough,2294,Davis,1997,Winter,62.4643,71.7419,53.8387,75,100,90,54,59,74
Willow Slough,2294,Davis,1998,Winter,55.0714,64.7419,54.0645,67,101,112,83,101,101
Willow Slough,2294,Davis,1999,Winter,56.6786,61.6129,52.1935,64,103,110,65,81,104
Willow Slough,2294,Davis,2000,Winter,58.1034,66.6129,57.3226,73,80,82,60,73,91
Willow Slough,2294,Davis,2001,Winter,57.8214,70.1935,55.8065,69,76,86,59,47,102
Willow Slough,2294,Davis,2002,Winter,62.0714,65.1935,53.5806,74,92,89,53,74,101
