model,city,mpg,mass(kg),wt
Aston Marton DBS Coupe M-6,11,17,1695,3736.8309
Aston Marton V8 Vantage A-S6,13,19,1548,3412.75176
Aston Marton V8 Vantage M-6,12,19,1548,3412.75176
Audi R8 M-6,12,19,1560,3439.2072
Audi TT Roadster Quattro A-S6,21,29,1445.976,3187.827609
Cadillac XLR 4.4L A-S6,14,23,1725.93,3805.019797
Chevrolet Corvette 6.2L M-6,16,26,1519,3348.81778
Lamborghini Murcielago A-S6,9,14,1650,3637.623
Mercedes Benz SL550 A-7,13,21,1911.66,4214.483869
Mercedes Benz SL600 A-5,11,18,2018.115,4449.176691
Mercedes Benz SL63 AMG A-S7,12,19,2007.243,4425.208063
Pontiac Solstice 2.0L A-5,19,27,1305,2877.0291
Saturn Sky 2.0L A-5,19,27,1330,2932.1446
Jaguar XK A-6,16,25,1662.963,3666.201489
Mini M-6,25,33,1208.604,2664.51255
Mitsubishi Eclipse M-5,19,26,1483,3269.45146
Audi A5 Quattro A-S6,17,26,1610,3549.4382
Chevrolet Aveo 5 A-4,25,34,1155,2546.3361
Chevrolet Cobalt M-5,22,30,1276.101,2813.317787
Chevrolet Cobalt XFE M-5,25,37,0,0
Ford Mustang 4.0L A-5,16,24,1519.815,3350.614545
Ford Mustang 5.4L A-5,14,20,1635.33,3605.281225
Mazda RX-8 M-6,16,22,1350,2976.237
Nissan GT-R A-S6,16,21,1730,3813.9926
Pontiac G3 Wave 5 A-4,25,34,1150,2535.313
Pontiac G3 Wave 5 M-5,27,34,1150,2535.313
Pontiac G5 A-4,24,33,1248,2751.36576
Pontiac G5 M-5,25,35,1248,2751.36576
Pontiac G5 GT A-4,23,32,1286,2835.14132
Pontiac G5 GT M-5,23,32,1286,2835.14132
Scion tC A-4,21,29,1353.111,2983.095573
Scion tC M-5,20,27,1353.111,2983.095573
Volkswagen Eos A-S6,22,29,1589.124,3503.414553
Volkswagen Eos M-6,21,31,1589.124,3503.414553
Volkswagen New Beetle A-S6,20,29,1656.168,3651.221096
Volkswagen New Beetle M-5,20,28,1656.168,3651.221096
Volvo C70 Convertible A-S5,18,26,1675,3692.7385
Volvo C70 Convertible M-6,18,27,1643.031,3622.259003
Acura TSX A-S5,21,30,1548.807,3414.530888
Acura TSX M-6,20,28,1548.807,3414.530888
Hyundai Accent A-4,26,35,1114.833,2457.783128
Hyundai Accent M-5,27,33,1114.833,2457.783128
Mazda 3 2.0L A-S5,22,30,1259.34,2776.366151
Mazda 3 2.0L M-5,24,32,1259.34,2776.366151
Mazda 3 2.3L A-S5,22,28,1307.358,2882.227594
Mazda 3 2.3L M-5,22,29,1307.358,2882.227594
Mercedes CLS63 AMG A-S7,12,18,1907.13,4204.496941
Mitsubishi Lancer 2.0L A-S6,17,25,1392.069,3068.983159
Mitsubishi Lancer 2.0L AV,22,28,1392.069,3068.983159
Pontiac G6 2.4L A-S6,22,33,1579.611,3482.442003
Pontiac G6 2.4L A-4,22,30,1579.611,3482.442003
Saturn Astra 2DR Hatchback A-4,24,30,1283.349,2829.296872
Saturn Astra 2DR Hatchback M-5,24,32,1283.349,2829.296872
Subaru Legacy AWD A-S4,20,26,1497.165,3300.679902
Toyota Corolla A-4,27,35,1233.519,2719.440658
Volkswagen GTI A-S6,22,29,1449.6,3195.817152
Volkswagen GTI M-6,21,31,1463.19,3225.777938
Volkswagen Jetta 2.0L A-S6,22,29,1463.19,3225.777938
Volkswagen Rabbit A-S6,21,29,1347.675,2971.111259
Volkswagen Rabbit M-5,21,29,1347.675,2971.111259
Volvo C30 2.4L FWD A-S5,20,28,1450.053,3196.815845
Volvo C30 2.4L FWD M-5,20,28,1450.053,3196.815845
Volvo S40 AWD A-S5,18,26,1400,3086.468
Volvo S40 AWD M-6,17,25,1400,3086.468
Buick Lacrosse/Allure 3.8L A-4,17,28,1737.255,3829.987118
Cadillac STS 3.6L A-S6,17,26,1776.666,3916.873397
Cadillac STS 4.4L A-S6,13,19,1925.25,4244.444655
Chevrolet Malibu 2.4L A-4,22,30,1577,3476.68574
Chevrolet Malibu 3.5L A-4,18,29,1577,3476.68574
Ford Fusion FWD A-5,20,28,1485.84,3275.712581
Ford Fusion FWD M-5,20,29,1485.84,3275.712581
Hyundai Elantra A-4,25,33,1144,2522.08528
Hyundai Elantra M-5,24,33,1144,2522.08528
KIA Optima A-5,22,32,1432,3157.01584
KIA Optima M-5,22,32,1432,3157.01584
KIA Spectra A-4,24,32,1253.451,2763.383144
KIA Spectra M-5,23,30,1253.451,2763.383144
